Команда;игр;побед;проигрышей;ничьих;голов;голы минус голы соперника
Ист Би;18;4;8;6;18;-9
Атлетико Букараманга;18;6;6;6;20;4
Гурник Ленчна;18;6;6;6;24;4
Самгурали;18;8;5;5;23;5
ФЮС Рабат;18;6;7;5;20;-4
Шальке 04-2;18;6;9;3;26;-7
Себета Сити;18;9;2;7;21;7
КФ Мостолес;18;6;9;3;15;-1
ЛКС Лодзь;18;7;7;4;22;-2
Минерос Сакатекас;18;9;6;3;29;4
Друитт Таун Рейнджерс;18;8;4;6;26;3
Раднички Сремска-Митровица;18;8;7;3;18;3
ФК Слуцк;18;5;7;6;19;-8
Тепатитлан де Морелос;18;8;5;5;22;1
Чайнат ФК;18;10;4;4;36;16
Маниса;18;5;4;9;21;5
Эносис Паралимни;18;3;11;4;17;-11
Гуадалупе;18;3;6;9;25;1
Бентли Гринз;18;11;4;3;34;14
Сидней Юнайтед 58;18;11;3;4;35;17
Казинцбарцика;18;3;11;4;18;-18
НРБ Телегма U21;18;3;11;4;17;-16
ДРБ Тадженант U21;18;6;7;5;21;-3
Альянса Сальвадор (ж);18;15;2;1;87;70
Онсе Депортиво Ауачапан;18;8;3;7;21;6
Сидней;18;10;2;6;31;17
Индепендьенте де Ла-Чоррера;18;9;6;3;22;5
Хэппи Вэлли;18;3;10;5;25;-10
Ботафого Рио-де-Жанейро (ж);18;8;8;2;25;6
Истерн Атлетик;18;11;3;4;35;20
Пласа Амадор (р);18;12;4;2;36;19
Спортинг Сан Мигелито (р);18;6;7;5;21;1
Мерани Мартвилли;18;8;6;4;26;5
Операрио Варзеа-Гранди;18;8;3;7;31;14
кол-во набранных очков;18;0;18;0;0;-767
Боливар;18;9;5;4;26;9
Марилия;18;6;6;6;18;3
Вестерн Юнайтед;18;5;11;2;14;-18
Чеджу Юнайтед;18;4;6;8;20;-1
Осиповичи;17;9;8;0;39;1
БГУ Минск;17;7;9;1;45;16
БумПром;17;3;11;3;17;-36
Аугнаблик;17;6;4;7;34;4
КМ Рейкьявик;17;1;16;0;12;-69
Дуйсбург(ж);17;2;10;5;12;-23
КИ Класвик-2;17;7;7;3;35;-3
Нымме Калью (ж);17;2;14;1;5;-54
Сонг Лам Нгхе Ан;17;5;7;5;17;-5
Газгольдер;17;7;6;4;50;16
Урожайная;17;10;5;2;33;2
Зорка БДУ (ж);17;10;5;2;52;18
Пярну Вапрус-2;17;6;10;1;34;-18
Пярну (ж);17;5;7;5;30;-25
Куанг Нам;17;5;10;2;26;-12
Ашхабад ФК;17;4;9;4;18;-13
Нопса;17;4;10;3;29;-34
Адмира Прага;17;9;5;3;32;10
Франкфурт (ж);17;5;9;3;29;-2
Скаллагримур;17;7;7;3;41;10
КФГ Гардабаер;17;7;6;4;36;5
Дак Лак;17;3;6;8;15;-5
Хвасеонг;17;5;7;5;17;-7
Либертас Минск;17;2;13;2;28;-28
Самхерьяр;17;5;8;4;32;-16
ИА/Кари U19;17;8;6;3;43;16
Лонг Ан;17;4;8;5;13;-7
Дукаджини;17;7;7;3;26;-4
Феризай;17;3;11;3;16;-28
Куусюси;17;6;9;2;29;-20
Радомлье;17;13;3;1;47;27
Пыхья-Сакала;17;5;11;1;30;-31
Флора-3 Таллинн;17;7;7;3;34;1
Тхан КСВН U19 (ж);17;12;3;2;36;25
Ханой U19 (ж);17;12;2;3;52;39
МиКи Миккели;17;9;4;4;33;3
Вольсунгур;17;4;10;3;19;-27
Пало Иирот;17;3;12;2;11;-33
Киисто Вааса;17;3;12;2;14;-19
ЛПС;17;7;6;4;42;5
Пуйу;17;5;9;3;27;-6
КаПа;17;13;2;2;45;29
Этыр Велико Тырново (ж);17;9;6;2;51;25
Палдин Пловдив (ж);17;6;10;1;29;-20
Хафнарфьордур ФХ (ж);17;6;10;1;21;-15
ЮПК (ж);17;6;10;1;28;-8
Курессааре-2;17;9;4;4;61;32
Чханнен (ж);17;9;5;3;31;4
Хвачхон (ж);17;6;8;3;17;-12
Истаравшан;17;4;6;7;27;-3
Душанбе 83;17;5;8;4;20;-3
Куктош ФК;17;7;4;6;30;10
Бейсуотер С;17;5;6;6;27;-6
Гурник Лечна (ж);17;9;5;3;37;8
Сфынтул Георге;17;11;2;4;35;22
Сперанца;17;3;9;5;21;-13
Липули;17;4;7;6;13;-4
Добруджа;17;4;9;4;28;2
Локомотив Лейпциг;17;6;4;7;27;6
Верль;17;5;7;5;25;-3
Метро Юн (ж);17;9;7;1;23;-11
Аделаида С (ж);17;16;1;0;80;66
Ларссон Дж;17;1;1;15;5;0
Велес Москва;17;7;6;4;23;3
Фортуна;17;8;6;3;32;-1
ФК Сиони;17;11;4;2;27;15
Таково;17;6;5;6;16;2
Перт U20;17;13;1;3;51;35
ЭКУ Джундалап U20;17;10;6;1;31;6
Аделаида С (р);17;10;6;1;39;8
ЭКУ Джундалап;17;9;5;3;41;21
Инглвуд Юн;17;7;7;3;28;3
Ашфилд;17;5;10;2;28;-13
Мандура С;17;7;7;3;27;-2
Киривонг Сок Сен Чей;17;7;7;3;32;3
Свайриенг;17;11;3;3;52;31
Улан-Батор ФК;17;10;4;3;50;27
Алахуэленсе (ж);17;10;3;4;32;21
Будафоки МТЕ;17;6;8;3;27;2
Ньиредьхаза;17;6;8;3;20;3
Нотодден;17;6;8;3;26;-9
Модбери;17;1;13;3;15;-26
Край;17;7;8;2;30;1
Адамстаун;17;1;14;2;13;-34
Лэмбтон (р);17;11;5;1;31;9
Питтсбург Риверхаундз;17;11;5;1;39;27
Колорадо;17;6;7;4;28;-1
Этуаль дю Сахель;17;12;2;3;33;22
ОКС Энерджи;17;1;8;8;13;-18
Белишче;17;7;4;6;27;16
КРКА;17;12;1;4;46;27
Серферз Парадайз Блю;17;7;5;5;59;22
Тхан КСВН (ж);17;11;5;1;29;17
Балтика Калининград;17;10;4;3;30;15
Бирмингем Леджион;17;7;6;4;31;8
Масаррон;17;5;6;6;18;-1
Эстремадура-2;17;6;6;5;18;4
Утрера;17;8;5;4;24;3
Спирит;17;8;4;5;32;4
Нью-Таун;17;9;4;4;31;3
Нара;17;7;7;3;18;2
Насину;17;3;12;2;17;-33
Брисбен Олимпик;17;11;3;3;46;29
Ибиса Ислас Питиусас;17;9;3;5;29;15
МИО Бивако Шига;17;6;7;4;24;-1
Зеско Юн;17;9;3;5;20;8
Иллаварра Стингрейс (ж);17;5;9;3;28;-10
Блэктаун Спартанс (ж);17;7;5;5;27;3
Сидней Олимпик (ж);17;10;4;3;47;25
Беледза (ж);17;9;5;3;51;28
Рено 1868;17;11;2;4;47;23
Штурм-2 Грац;17;8;5;4;27;6
Голд-Кост Юн U20;17;11;4;2;51;29
Твид Юнайтед (р);17;11;2;4;61;45
Оптик Ратенов;17;4;7;6;24;-9
Унион Фюрстенвальде;17;8;7;2;39;6
Кожуф Гевгелия;17;7;4;6;22;-3
Раазику Джокер;17;10;4;3;47;23
СВК Тандер;17;13;3;1;52;30
Кроненберг;17;4;6;7;35;-2
Шоннебек;17;9;6;2;35;11
Кальденсе;17;5;10;2;14;-11
Тупинамбас;17;6;6;5;20;-6
МКО Ужда;17;3;8;6;13;-10
Монаркас Морелия;17;8;4;5;26;4
Олимпик Хурибга;17;3;8;6;16;-7
голы ПСЖ;17;6;9;2;38;-1
Робина Сити (р);17;1;14;2;16;-58
Бен Гердан;17;5;4;8;13;1
Кастаньял;17;5;5;7;17;-5
Рязань-ВДВ (ж);17;6;7;4;15;-1
Гварек Тарновски Горы;17;5;7;5;27;-12
Акасиа Ридж;17;7;10;0;27;-11
Голд-Кост Юн (ж);17;14;3;0;47;27
Сан Гванн;17;8;2;7;28;13
Неранг (р);17;9;6;2;44;16
Олбани Крик (р);17;5;8;4;32;1
Индепендьенте ПА;17;5;10;2;24;-13
Хелмянка Хелм;17;10;2;5;25;15
Подгале Новы Тарг;17;8;7;2;25;-2
Гурник Конин;17;2;13;2;10;-25
КАИБ Беррешид;17;3;7;7;6;-7
Паро Юн;17;4;11;2;29;-9
Масгрейв Грин-2;17;10;2;5;45;21
Хапоэль Иксал;17;5;3;9;24;-4
Хапоэль Кфар-Шелем;17;4;9;4;21;-5
Аль-Хала;17;8;7;2;26;7
Аль-Тукба;17;6;8;3;28;3
Пиета Хотспурс;17;8;6;3;32;5
Слога Добой;17;4;6;7;18;1
Хендерсон Илс;17;13;2;2;87;73
ТСК (ж);17;7;7;3;28;-17
Камен Иванбеговина;17;3;9;5;17;-11
Ассириска Седертелье;17;11;6;0;38;10
Плачковица;17;3;12;2;10;-22
Павликени;17;9;5;3;24;8
Пештера Галата;17;3;13;1;20;-30
Трявна;17;1;14;2;13;-40
Орка Камогава (ж);17;7;6;4;24;6
Диназ Вышгород;17;9;3;5;29;16
Орхус Фремад;17;6;8;3;30;-5
Аль-Букириях;17;4;7;6;15;-7
Радомлье (ж);17;3;12;2;25;-45
Лузиания;17;4;9;4;16;-13
Динамо-2 Загреб;17;4;9;4;19;-3
Кустосия;17;6;3;8;21;2
БК Унион;17;9;6;2;28;5
Аллерод;17;6;3;8;25;6
Раднички Нови Белград;17;9;2;6;33;18
Рембас Ресавица;17;8;8;1;29;2
Зелезничар Панчево;17;5;9;3;17;-8
Алебрихес;17;4;12;1;16;-12
Барри Т;17;7;7;3;24;-5
Аль-Казма;17;9;4;4;26;13
Колдинг БК;17;3;9;5;15;-24
Хеденстед;17;9;1;7;34;11
Греве;17;7;7;3;30;-1
Бейтар Иерусалим U19;17;5;7;5;12;-8
Наполи (ж);17;3;10;4;15;-8
Торлак U19;17;4;12;1;17;-30
Мондор-ле-Бэн;17;4;10;3;16;-16
Дерри Сити;17;5;5;7;17;-3
Нью Сейнтс;17;10;2;5;37;28
Сиам Нэви;17;3;12;2;17;-13
Йонг АЗ Алкмар;17;3;12;2;21;-24
ВПК-Агро Шевченковка;17;6;9;2;20;-11
Рентистас Атлетико;17;6;3;8;20;6
Хапоэль Раанана U19;17;3;9;5;13;-10
Осогово;17;4;7;6;22;-5
Росоман 83;17;1;16;0;18;-40
Шленск-2 Вроцлав;17;8;6;3;27;4
Марин;17;10;5;2;30;10
Атлетико Сомотильо;17;4;7;6;14;-10
Украина;17;3;10;4;14;-19
УНАН-Манагуа;17;12;2;3;55;38
Кобресаль Эль-Сальвадор;17;7;7;3;22;4
Нуакшот Кингс;17;7;7;3;23;3
Гримсби Т;17;4;8;5;16;-14
Депортес Ла-Серена;17;8;6;3;19;0
Депортес Икике;17;5;8;4;17;-5
Расинг Хаитьен;17;8;3;6;21;4
Реймс (ж);17;5;9;3;23;-14
Кобрелоа Калама;17;3;7;7;15;-6
Космополитес;17;4;6;7;14;-6
Нойленгбах (ж);17;7;6;4;50;25
Академи Фукусима (ж);17;10;2;5;38;23
Олимпик Миссира;17;7;7;3;18;0
ХАШК Загреб;17;6;7;4;16;-11
Десна Чернигов U21;17;2;13;2;11;-41
Навбахор-2;17;8;8;1;29;6
Санта Ана;17;2;10;5;11;-20
Рапид Бухарест-2;17;5;10;2;21;-7
Волунтари-2;17;5;7;5;17;-9
Униря Басков;17;9;6;2;31;6
Кернарфон Т;17;6;7;4;23;-10
Чианграй Юн;17;10;5;2;24;6
Легион-Динамо Махачкала;17;9;1;7;32;21
Мейчжоу Хакка;17;9;4;4;33;8
Синьцзян Тяньшань;17;1;10;6;14;-13
Цзянси Ляньшэн;17;2;8;7;17;-15
Мадурейра РЖ U20;17;7;4;6;21;1
Интер Нуакшот;17;3;8;6;20;-6
Байконур Кызыл-Орда;17;5;11;1;24;-25
Ст. Лучия;17;6;5;6;26;-2
Синджелич U19;17;9;4;4;35;14
Аудакс РЖ;17;8;8;1;25;2
Гонсаленсе ФК;17;8;2;7;24;7
Бойака Чико;17;3;12;2;11;-20
Реал Гранада ФК;17;6;5;6;37;-2
Кришул Кишинеу-Криш;17;7;4;6;38;17
Кондаль;17;4;4;9;16;-1
Хагуарес Кордоба;17;2;5;10;14;-4
Гумушанеспор;17;3;10;4;19;-16
Амедспор Диярбакыр;17;8;6;3;29;2
Тарсус;17;5;8;4;21;-1
Арнавуткей;17;6;3;8;21;7
Букараманга;17;5;7;5;17;-4
Лечче U19;17;12;3;2;40;22
Реджана U19;17;2;10;5;24;-17
Бухара (ж);17;5;10;2;29;-23
Уфа(2);17;6;6;5;27;-5
Аль-Кана;17;5;3;9;16;2
Гютерсло 2009 (ж);17;10;4;3;38;14
Ла-Солана;17;4;8;5;12;-7
Латина;17;8;5;4;22;8
Ланузеи;17;5;5;7;21;3
Джулианова;17;4;8;5;18;-4
Ачиреале;17;11;3;3;30;17
Байя Сальвадор U20;17;5;8;4;22;-6
Синкоед (ж);17;4;8;5;17;-17
Дигенис Морфу;17;3;7;7;20;-6
Чимальтенанго;17;5;5;7;12;-1
Сьюдад Лусена;17;7;5;5;26;10
Анг Тонг;17;14;1;2;36;31
Сьеро;17;4;11;2;16;-15
Мариньянезе;17;3;8;6;18;-4
Кадима (ж);17;4;12;1;15;-25
Интер Бангкок;17;1;12;4;10;-21
Камерун;17;4;5;8;14;-4
Мадридехос;17;3;9;5;21;-5
Сибао;17;8;4;5;24;8
Альянса;17;11;3;3;32;19
Нуэва Чикаго;17;2;9;6;12;-10
Безана;17;5;8;4;14;-9
Вилла;17;9;4;4;27;5
Прайм Бангкок;17;6;3;8;20;0
Паранаенсе U20;17;9;2;6;39;19
Сикинала;17;6;6;5;18;4
ФАС Асдефул (ж);17;15;2;0;89;79
Альянса (ж);17;14;2;1;68;53
Хокоро (ж);17;1;14;2;13;-54
Вальдивия;17;4;11;2;16;-21
Чакарита Хуниорс;17;5;8;4;15;-8
Баскония;17;6;5;6;21;6
Индени;17;3;6;8;14;-4
Арсуа;17;6;6;5;25;7
Бениганим;17;4;8;5;14;-12
Кордоба-2;17;9;4;4;34;14
Америка де Кали (ж);17;9;5;3;27;9
Бенфика (ж);17;13;4;0;42;21
Шарлеруа (ж);17;4;12;1;12;-42
Эстраденсе;17;8;5;4;32;7
Вименор;17;10;2;5;35;20
Тим Веллингтон;17;10;2;5;47;21
Фрипорт;17;6;6;5;23;3
Ройял Пари;17;10;5;2;33;10
Крато;17;3;10;4;12;-20
Техтиль Эскудо;17;7;6;4;25;7
Сариньена;17;4;7;6;23;-3
Валлобин;17;4;10;3;11;-12
Софапака;17;6;7;4;21;-3
Браун Адроге;17;6;5;6;16;2
Алькудия;17;4;5;8;16;-3
Вазито;17;8;4;5;18;2
Гильермо Браун;17;2;7;8;14;-4
Акассусо;17;4;6;7;14;-4
Ватанга;17;7;6;4;24;5
Посуэло Аларкон;17;6;5;6;20;2
Маккаби Тамра;17;7;5;5;17;-1
Шимшон Кафр-Касем;17;4;5;8;22;1
Депортиво Мадрин;17;8;5;4;20;5
Депортиво Арменио;17;4;8;5;15;-5
Каньюэлас;17;4;10;3;18;-7
Ла Баньеса;17;6;6;5;18;3
Соларес-Медио-Кудейо;17;2;11;4;9;-15
Агрупасион Эстудиантиль;17;5;6;6;22;-6
Плюс Ультра;17;3;12;2;10;-31
Чихура Сахчере;17;2;12;3;11;-25
Шимшон Тель-Авив;17;10;2;5;39;25
Берасатеги;17;4;7;6;20;0
Ургаци;17;1;14;2;8;-46
Викториано Аренас;17;2;10;5;17;-16
Сайгон ФК;17;5;9;3;12;-8
Уиган Атлетик U23;17;5;9;3;16;-26
Ханой;17;6;8;3;23;1
Серавецца Поцци;17;7;5;5;23;2
Уньон Фельтре;17;4;11;2;16;-15
Читта-ди-Мессина;17;11;0;6;36;24
ЗЕД;17;5;5;7;16;0
Эспахбод U23;17;3;11;3;23;-12
Коув Рейнджерс;17;6;3;8;19;2
Муктижодда;17;2;11;4;11;-18
Мобл Мохташам;17;5;8;4;11;-3
Каратезе;17;10;4;3;27;8
Месаймир;17;8;6;3;23;-3
Икике;17;4;6;7;22;-1
Аглианезе;17;8;3;6;25;8
Гомхореят Шебин;17;4;4;9;17;2
Аль-Хория;17;2;11;4;13;-17
Реджана;17;3;10;4;12;-12
Шохада Боболсар;17;5;7;5;11;-5
Бирмингем Сити U23;17;13;2;2;50;29
Айфиньи Уба;17;3;8;6;12;-7
Анаполис;17;5;7;5;14;-11
ХНК Горица;17;5;6;6;21;-2
Нерока;17;3;11;3;18;-8
Ред Бул Зальцбург;17;15;1;1;55;44
ХИК Хеллеруп;17;10;5;2;27;5
Адамава Юнайтед;17;2;11;4;8;-16
Ривер Плейт Монтевидео;17;6;6;5;22;-3
Вест Хэм Юнайтед (ж);17;3;9;5;23;-4
Пласа Колония;17;9;4;4;32;15
Добруджа Добрич;17;2;10;5;13;-19
Иммигрейшн;17;2;7;8;10;-6
Бояка Чико;17;4;9;4;14;-6
Аль-Сахель Абу-Халифа;17;3;10;4;20;-13
Партизан Бардеев;17;3;9;5;16;-15
Хеккен;17;7;6;4;31;8
Аль-Шабаб Аль-Ахмади;17;3;7;7;15;-8
Аль-Наср Эль-Фарвания;17;5;8;4;18;-4
Аль-Кадсия Кувейт;17;10;1;6;32;17
Казма СК;17;6;4;7;29;9
Аль-Араби Кувейт;17;13;0;4;38;23
Бахр-Дар Кетема;17;4;4;9;15;-1
Эстерсунд;17;4;10;3;18;-8
Рионегро Агилас;17;2;7;8;13;-8
Джэм Сити;17;7;4;6;24;4
Вестерн Сидней Уондерерс;17;7;7;3;33;3
Крумкачи Минск;17;13;2;2;41;27
Грейт Олимпикс;17;9;6;2;20;2
Саутерн Дистриктс Рэйдерс;17;5;10;2;21;-13
Аль-Тай;17;9;3;5;24;7
Чиангмай Юнайтед;17;11;3;3;34;19
Нонгбуа Питчая;17;8;2;7;28;19
Бурирам Юнайтед;17;13;2;2;37;28
Тигрес Богота;17;3;6;8;10;-5
Амедспор;17;9;7;1;25;4
Этимесгут;17;11;5;1;43;28
ФК Ноа;17;8;6;3;23;5
Гуаякиль Сити;17;2;11;4;12;-21
Порт Мельбурн Шаркс;17;7;5;5;33;14
Данденонг Сити;17;3;9;5;19;-10
Нортбридж;17;4;7;6;31;1
ГКС Белхатув;17;2;10;5;13;-14
КД Рода;17;7;4;6;19;7
Зеско Юнайтед;17;12;3;2;30;18
Мунисипаль Гресия;17;4;7;6;20;-7
Мунисипаль Перес Селедон;17;5;3;9;19;-3
ФК Железничар;17;3;8;6;27;0
Энтелла;17;0;11;6;11;-17
Инглвуд Юнайтед;17;6;5;6;33;3
НРБ Телегма;17;8;6;3;20;8
ДРБ Тадженант;17;4;11;2;18;-17
МСП Батна;17;3;12;2;14;-13
АС Хруб U21;17;1;12;4;16;-17
Ньюэллс Олд Бойз (р);17;8;5;4;32;8
Ирони Нир Рамат-ха-Шарон;17;3;9;5;15;-3
Мэнли Юнайтед;17;6;5;6;23;2
РК Арба U21;17;9;2;6;22;12
Онсе Депортиво Ауачапан (р);17;2;8;7;24;-13
РМ Хамм Бенфика;17;3;7;7;19;-5
Агила Сан-Мигель;17;6;4;7;17;5
ЮВА Недлэндс;17;7;8;2;32;-3
УСМ Эль-Харраш U21;17;7;6;4;28;11
Гонконг Пегасус;17;8;8;1;24;-7
Малкатеко;17;3;6;8;9;-6
Ли Ман;17;11;4;2;36;19
Коста-дель-Эсте;17;5;5;7;16;1
Сентенарио;17;6;8;3;30;-3
Аньан;17;8;4;5;24;10
Кимчхон Санму;17;6;4;7;22;6
Атибая;17;6;4;7;17;6
Лех Познань 2;17;6;6;5;21;-1
Невежис Кедайняй;17;3;13;1;11;-24
XV ноября Пирасикаба;17;5;5;7;12;0
Униао АБС;17;5;9;3;19;-10
Ренофа Ямагути;17;5;7;5;12;-5
РБ Бразил;17;6;6;5;14;-5
Серветт;17;8;7;2;26;-6
Сересо Осака;17;5;7;5;20;0
Васко да Гама РЖ;17;8;4;5;29;8
Коринтианс Паулиста (ж);17;14;1;2;73;62
Аделаида Юнайтед;17;8;5;4;27;4
Телеоптик;17;10;2;5;35;17
ТЕК Слога;17;8;5;4;20;5
Кернарфон;17;5;9;3;26;-14
Барри Таун;17;6;10;1;20;-12
Раднички Нови-Београд;17;6;8;3;24;4
Инчхон Юнайтед;17;4;8;5;16;-13
Пхохан Стилерс;17;6;5;6;18;-1
Пролайн;17;10;5;2;24;9
Эребру Сюрианска;17;6;9;2;14;-12
Гомельжелдортранс;16;8;5;3;34;9
Виктория Марьина Горка;16;6;5;5;30;6
Б68 Тофтир;16;4;9;3;20;-6
Витковице;16;3;12;1;24;-27
Минск ФК (ж);16;11;3;2;45;39
Смедерево;16;4;8;4;18;-11
Волат Капитал;16;8;8;0;30;-1
Ханой U19;16;9;2;5;31;20
Арминия Билефельд (ж);16;3;11;2;21;-21
Афтурелдинг-Хвити U19;16;8;4;4;49;8
Селфосс U19;16;4;12;0;21;-30
Фьолнир/Ваенгир U19;16;10;4;2;53;34
Фо Хиен;16;7;4;5;19;7
Казахстан (TSL);16;4;9;3;50;-13
Глучин;16;9;4;3;30;14
Трешневка;16;4;7;5;20;-4
КР/КВ Рейкьявик U19;16;6;6;4;29;0
Бинь Динь;16;11;3;2;29;17
Кимхэ С;16;12;1;3;36;21
КФБ;16;2;11;3;29;-36
Хувентуд Эскасусенья;16;8;6;2;27;5
Кауно Жальгирис (ж);16;9;6;1;62;40
Хафнарфьордур ИХ;16;10;4;2;72;40
Пюник;16;2;9;5;9;-7
Сауэ ЙК Лаагри;16;10;4;2;36;16
Легион Таллинн U19;16;12;3;1;61;40
Сон Ла U19 (ж);16;2;12;2;8;-30
Виктория Отроковице;16;8;7;1;36;-2
Аурборг;16;7;5;4;52;24
РоПС Акатемия;16;8;6;2;29;7
ПС Кеми;16;7;9;0;27;-2
ИБК;16;7;4;5;23;3
ЙоКи;16;1;11;4;13;-32
Конту;16;10;6;0;41;20
Валтти;16;7;7;2;28;0
ТуПС;16;7;7;2;34;-5
САПА 3;16;8;2;6;31;14
НуПС;16;6;6;4;36;-2
Чонджу ЕМ;16;3;11;2;12;-12
Локомотив Стара Загора (ж);16;11;3;2;55;42
Фюлкир Рейкьявик (ж);16;5;5;6;22;-8
Блэк Лейбл;16;7;7;2;31;-5
ПОХУ;16;1;11;4;18;-24
Боден;16;9;4;3;27;11
Эспо-2;16;4;8;4;13;-11
Кенджу КХНП (ж);16;12;1;3;32;23
Ред Энжелс (ж);16;13;2;1;44;35
КойПС;16;5;10;1;34;-21
Чиндия Тарговиште;16;6;8;2;14;-3
ХПС Хельсинки;16;8;4;4;41;15
Финнкурд;16;7;6;3;39;-4
Вулвз;16;2;13;1;18;-24
Миньор Перник;16;4;8;4;13;-10
Мирамар Рейнджерс;16;12;1;3;48;37
Куиннс (р);16;13;1;2;52;38
Равшан;16;8;6;2;41;10
Спартак М(2);16;9;4;3;30;8
Струмска Слава;16;4;8;4;17;-19
Блонянка Блоне;16;7;7;2;33;8
ЭсПа;16;7;5;4;34;8
Уотерсайд Карори;16;5;10;1;28;-25
Вашингтон Спирит (ж);16;8;5;3;17;1
Виктория;16;6;7;3;37;-4
Прейвэнг;16;9;4;3;40;18
Ховд Вестерн;16;6;6;4;38;6
Модбери Джетс;16;7;6;3;28;8
Левангер;16;5;5;6;22;1
Кокберн С U20;16;5;6;5;20;2
Инглвуд Юн U20;16;6;8;2;36;-5
Метростарз (р);16;7;6;3;34;11
Гвэлап Кроэйша;16;9;4;3;40;19
Форрестфилд Юн;16;6;5;5;28;-1
Полис Комисинари;16;6;6;4;27;-2
Электрисити Камбоджа;16;1;11;4;24;-25
Каррой;16;7;6;3;20;4
Хоромхон;16;12;3;1;54;27
Дерен-2;16;6;9;1;39;-23
Мердок Универ Мелвилл (ж);16;11;2;3;42;29
Дму;16;8;5;3;55;16
Петржалка 1898;16;5;6;5;18;-6
Хуниор Манагуа;16;4;8;4;17;-7
Татабанья;16;7;6;3;22;-3
Иванча;16;7;3;6;23;7
Брон Радом;16;3;9;4;14;-15
Алта;16;9;5;2;32;8
ПВФ;16;7;3;6;20;11
Гия Динь;16;12;2;2;38;24
Конг Ан Нан Дэн;16;11;2;3;46;35
Триу Минь;16;3;10;3;21;-25
Райхенау;16;8;5;3;29;11
Сливнишки Герой;16;7;6;3;24;2
Герта Вельс;16;9;5;2;39;14
Метро;16;2;14;0;16;-45
Карпаты Галич;16;8;6;2;23;4
Лейк Маккуори;16;3;12;1;17;-24
Мейтленд (р);16;6;7;3;26;-7
Навбахор U21;16;10;1;5;33;17
Лос-Анджелес Гэлакси-2;16;7;7;2;25;-10
Нью-Мексико Юн;16;9;2;5;25;9
Одд-БК-2;16;4;9;3;19;-14
Волеренга-2;16;7;6;3;26;-8
Арагви Душети;16;1;11;4;10;-33
Металлург Рустави;16;6;6;4;27;4
Локомотив Мездра;16;6;9;1;19;-30
Веллингтон Финикс;16;3;9;4;15;-10
Охрид;16;8;6;2;19;3
Пушкаш Академия-2;16;7;5;4;30;12
Барко;16;7;4;5;28;9
Хобарт Юн;16;9;6;1;37;7
Лонсестон С;16;2;13;1;15;-24
Валентайн Финикс (р);16;1;13;2;8;-56
Хонда ФК;16;5;4;7;17;0
Чиба ДЖЕФ Юнайтед (ж);16;5;6;5;24;-1
Ароса;16;8;3;5;24;9
Сентраль Каруару ПЕ;16;5;2;9;25;13
Форт-Лодердейл КФ;16;4;9;3;19;-9
Мортон Бэй Юн (ж);16;0;16;0;7;-102
Канберра Олимпик (ж);16;9;7;0;53;18
Брэкли Т;16;4;4;8;22;1
Чарльстон;16;8;4;4;26;9
Сан Антонио ФК;16;9;3;4;29;15
Брисбен С U20;16;10;5;1;44;21
Серферз Парадайз Уайт;16;10;5;1;74;44
Жуазейренсе;16;9;4;3;25;7
Мортон Бэй Юн U20;16;10;4;2;44;14
Алемания Аахен;16;6;5;5;14;2
Рудар Приедор;16;7;3;6;21;11
Врапче;16;3;10;3;29;-13
Корк С;16;2;8;6;13;-10
Кингборо Лайонс (р);16;1;13;2;19;-42
Метро (р);16;5;11;0;30;-46
Брисбен С (ж);16;6;6;4;27;2
Химнастика Торрелавега;16;9;3;4;26;15
Бейсайд Юн;16;5;7;4;31;8
Виктория Берлин;16;16;0;0;43;32
Вестфалия Херне;16;2;12;2;19;-21
Логан Метро;16;11;2;3;44;28
Вилла Нова МЖ;16;3;10;3;13;-14
Шарлотт Индепенденсе;16;7;4;5;23;1
Ричмонд Киккерс;16;8;6;2;22;0
Гори ФК;16;8;1;7;18;9
Колхети Поти;16;11;3;2;38;25
Кретей;16;5;5;6;12;-3
Саутс Юн (ж);16;7;8;1;36;5
Ст. Патрикс Атлетик;16;4;6;6;13;-3
Коб-Рамблерс;16;7;6;3;19;2
Брисбен Страйкерс U20;16;5;10;1;24;-13
НАПСА Старз;16;3;5;8;17;-2
Врбовец;16;5;9;2;19;-5
Лаутерах;16;11;4;1;39;11
Краснодар (ж);16;4;7;5;17;0
Полония Сталь Свидница;16;4;11;1;19;-28
Брисбен Лайонс;16;10;4;2;41;27
Вирджиния Юн;16;8;6;2;36;4
Финнентроп/Баменоль;16;2;8;6;24;-11
Словацко (ж);16;9;6;1;27;3
Менфечанак;16;2;10;4;15;-17
Пакш-2;16;6;5;5;22;0
Пенинсула Пауэр U20;16;6;6;4;28;-5
Хасслехольм ИФ;16;7;6;3;26;0
Моленбек;16;5;7;4;26;-4
Реча;16;5;8;3;23;-7
Униря Слобоция;16;6;7;3;17;-4
Хай Куалити Юн;16;5;10;1;35;0
Тетуан;16;4;5;7;17;-1
Богемианс Прага;16;6;3;7;21;9
Валетта;16;5;6;5;20;-7
Витториоза Старз;16;4;5;7;18;-5
Загорец Нова Загора;16;13;2;1;53;39
Козара Градишка;16;7;5;4;23;8
Пучов;16;8;7;1;22;-1
Аль-Наджма;16;9;3;4;23;6
Фреденсборг (ж);16;2;11;3;17;-24
Левски София U19;16;8;4;4;36;19
Силькеборг U19;16;5;9;2;26;-15
Васильков;16;2;12;2;14;-31
Ракошменти;16;5;10;1;16;-8
